City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Vanderhoof,CA,54.0166,-124.0198,33.85,83,100,6.69,overcast clouds
135,Hasaki,JP,35.7333,140.8333,48.6,47,1,14.32,clear sky
136,Leshukonskoye,RU,64.8989,45.7622,-0.96,100,100,3.18,overcast clouds
137,Hualmay,PE,-11.0964,-77.6139,66.47,84,100,9.33,overcast clouds
138,Nam Phong,TH,16.7023,102.8557,68.16,66,97,7.09,overcast clouds
139,Teya,RU,60.3778,92.6267,13.44,94,100,4.25,light snow
140,Qaanaaq,GL,77.484,-69.3632,-0.54,98,98,1.9,overcast clouds
141,Kyzyl,RU,51.7,94.45,1.98,90,100,1.28,overcast clouds
142,Atuona,PF,-9.8,-139.0333,78.53,72,99,19.39,overcast clouds
143,Rawson,AR,-43.3002,-65.1023,57.78,75,0,10.29,clear sky
144,Chapais,CA,49.7834,-74.8492,18.81,83,100,14.63,overcast clouds
145,Fort Nelson,CA,58.8053,-122.7002,20.16,96,100,2.84,overcast clouds
146,Kamina,CD,-8.7386,24.9906,61.72,98,82,1.74,moderate rain
147,Nador,MA,35.174,-2.9287,57.45,47,20,18.41,few clouds
148,Hemsedal,NO,60.8629,8.5534,17.89,96,100,2.28,light snow
149,Tezu,IN,27.9167,96.1667,61.27,52,1,3.58,clear sky
150,Byron Bay,AU,-28.65,153.6167,75.15,87,95,12.37,overcast clouds
151,Solms,DE,50.7667,9.6,27.37,95,100,3.78,overcast clouds
152,Kapaa,US,22.0752,-159.319,80.92,57,1,14.97,clear sky
153,Puerto Ayora,EC,-0.7393,-90.3518,68.85,80,98,8.7,overcast clouds
154,Hofn,IS,64.2539,-15.2082,34.03,62,100,21.97,overcast clouds
155,Samarai,PG,-10.6167,150.6667,83.77,72,100,6.62,overcast clouds
156,Kemijarvi,FI,66.7131,27.4306,9.46,95,100,2.89,overcast clouds
157,Kabardinka,RU,44.6514,37.9428,55.62,83,100,18.12,overcast clouds
158,Kangaatsiaq,GL,68.3065,-53.4641,25.41,76,100,14.83,overcast clouds
159,Beloha,MG,-25.1667,45.05,58.15,70,0,7.31,clear sky
160,Nalut,LY,30.3333,10.85,68.58,33,100,17.11,overcast clouds
161,Ormond Beach,US,29.2858,-81.0559,57.34,71,1,0.0,clear sky
162,Georgetown,MY,5.4112,100.3354,80.53,83,20,3.44,few clouds
163,Dareda,TZ,-4.2167,35.55,57.65,94,53,3.4,broken clouds
