City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Hobart,AU,2021-11-25 23:15:02,-42.8794,147.3294,58.26,61,75,1.01
90,Wer,IN,2021-11-25 23:19:39,27.0,77.1667,64.33,41,1,2.39
91,Atuona,PF,2021-11-25 23:19:39,-9.8,-139.0333,78.35,79,12,17.52
92,Rincon,US,2021-11-25 23:20:40,32.296,-81.2354,61.25,79,75,4.61
93,Puerto Ayora,EC,2021-11-25 23:20:40,-0.7393,-90.3518,70.56,86,69,8.99
94,Hithadhoo,MV,2021-11-25 23:20:41,-0.6,73.0833,81.27,71,99,15.99
95,Tongliao,CN,2021-11-25 23:18:23,43.6125,122.2653,4.73,93,13,4.07
96,Port Moresby,PG,2021-11-25 23:16:24,-9.4431,147.1797,85.42,74,20,9.22
97,Port Elizabeth,ZA,2021-11-25 23:20:42,-33.918,25.5701,64.69,77,75,17.27
98,Lebu,CL,2021-11-25 23:20:42,-37.6167,-73.65,57.09,88,22,13.78
99,Toccoa,US,2021-11-25 23:20:42,34.5773,-83.3324,58.64,55,1,8.05
100,Namwala,ZM,2021-11-25 23:20:43,-15.7504,26.4384,70.0,78,76,4.79
101,Dali,CN,2021-11-25 23:20:43,25.7,100.1833,40.87,86,0,1.34
102,Magistralnyy,RU,2021-11-25 23:20:44,56.1725,107.4458,22.39,95,100,4.76
103,Herat,AF,2021-11-25 23:20:44,34.5,62.0,42.39,79,45,10.38
104,Xining,CN,2021-11-25 23:20:45,36.6167,101.7667,27.03,41,12,2.08
105,Itarare,BR,2021-11-25 23:20:45,-24.1125,-49.3317,73.29,58,49,3.53
106,New Norfolk,AU,2021-11-25 23:20:45,-42.7826,147.0587,57.92,44,25,3.0
107,Omsukchan,RU,2021-11-25 23:20:46,62.5333,155.8,-29.18,99,25,4.43
108,Comodoro Rivadavia,AR,2021-11-25 23:20:46,-45.8667,-67.5,71.46,16,0,19.57
109,Asau,RO,2021-11-25 23:20:47,46.4333,26.4,33.76,73,1,6.13
110,Pandan,PH,2021-11-25 23:20:47,14.0453,124.1694,81.09,85,85,6.46
111,Viransehir,TR,2021-11-25 23:20:48,37.2353,39.7631,54.32,67,100,8.25
112,Hobyo,SO,2021-11-25 23:20:48,5.3505,48.5268,80.74,81,45,16.28
113,Chokurdakh,RU,2021-11-25 23:20:49,70.6333,147.9167,-30.68,100,28,3.98
114,Vardo,NO,2021-11-25 23:20:49,70.3705,31.1107,14.2,67,96,10.83
115,Chapais,CA,2021-11-25 23:20:50,49.7834,-74.8492,28.18,99,100,1.41
116,Tasiilaq,GL,2021-11-25 23:20:50,65.6145,-37.6368,28.56,56,9,9.69
117,Petatlan,MX,2021-11-25 23:20:51,17.5167,-101.2667,85.8,71,33,3.02
118,Vestmannaeyjar,IS,2021-11-25 23:20:51,63.4427,-20.2734,33.89,68,4,26.4
119,Rio Gallegos,AR,2021-11-25 23:20:52,-51.6226,-69.2181,53.65,32,20,29.93
120,Cacule,BR,2021-11-25 23:20:52,-14.5033,-42.2222,69.28,63,41,3.74
121,Jumla,NP,2021-11-25 23:20:52,29.2747,82.1838,36.93,51,0,4.14
